Month,Day,Num
April,1,177.0
August,1,308.0
December,1,194.0
February,1,142.0
January,1,435.0
July,1,346.0
June,1,650.0
March,1,159.0
May,1,228.0
November,1,250.0
October,1,325.0
September,1,338.0
April,2,97.0
August,2,131.0
December,2,106.0
February,2,114.0
January,2,107.0
July,2,129.0
June,2,102.0
March,2,93.0
May,2,77.0
November,2,148.0
October,2,112.0
September,2,154.0
April,3,79.0
August,3,166.0
December,3,123.0
February,3,73.0
January,3,99.0
July,3,260.0
June,3,100.0
March,3,99.0
May,3,113.0
November,3,147.0
October,3,140.0
September,3,134.0
April,4,95.0
August,4,156.0
December,4,87.0
February,4,107.0
January,4,125.0
July,4,939.0
June,4,89.0
March,4,76.0
May,4,100.0
November,4,117.0
October,4,136.0
September,4,142.0
April,5,121.0
August,5,147.0
December,5,108.0
February,5,93.0
January,5,118.0
July,5,207.0
June,5,121.0
March,5,109.0
May,5,148.0
November,5,150.0
October,5,134.0
September,5,152.0
April,6,95.0
August,6,158.0
December,6,108.0
February,6,115.0
January,6,109.0
July,6,192.0
June,6,153.0
March,6,92.0
May,6,104.0
November,6,133.0
October,6,139.0
September,6,125.0
April,7,100.0
August,7,171.0
December,7,96.0
February,7,82.0
January,7,95.0
July,7,236.0
June,7,128.0
March,7,127.0
May,7,83.0
November,7,137.0
October,7,99.0
September,7,142.0
April,8,97.0
August,8,173.0
December,8,102.0
February,8,112.0
January,8,119.0
July,8,129.0
June,8,114.0
March,8,110.0
May,8,97.0
November,8,168.0
October,8,134.0
September,8,149.0
April,9,116.0
August,9,117.0
December,9,99.0
February,9,105.0
January,9,88.0
July,9,141.0
June,9,119.0
March,9,123.0
May,9,73.0
November,9,133.0
October,9,138.0
September,9,149.0
April,10,117.0
August,10,221.0
December,10,131.0
February,10,99.0
January,10,138.0
July,10,195.0
June,10,168.0
March,10,145.0
May,10,113.0
November,10,154.0
October,10,186.0
September,10,179.0
April,11,105.0
August,11,165.0
December,11,98.0
February,11,86.0
January,11,116.0
July,11,141.0
June,11,93.0
March,11,103.0
May,11,98.0
November,11,132.0
October,11,133.0
September,11,182.0
April,12,107.0
August,12,228.0
December,12,120.0
February,12,91.0
January,12,113.0
July,12,164.0
June,12,109.0
March,12,112.0
May,12,114.0
November,12,142.0
October,12,156.0
September,12,155.0
April,13,96.0
August,13,168.0
December,13,143.0
February,13,99.0
January,13,97.0
July,13,192.0
June,13,106.0
March,13,174.0
May,13,87.0
November,13,137.0
October,13,165.0
September,13,133.0
April,14,129.0
August,14,163.0
December,14,98.0
February,14,131.0
January,14,114.0
July,14,159.0
June,14,141.0
March,14,116.0
May,14,85.0
November,14,157.0
October,14,145.0
September,14,154.0
April,15,212.0
August,15,467.0
December,15,167.0
February,15,150.0
January,15,197.0
July,15,516.0
June,15,535.0
March,15,224.0
May,15,234.0
November,15,255.0
October,15,384.0
September,15,324.0
April,16,134.0
August,16,153.0
December,16,103.0
February,16,117.0
January,16,96.0
July,16,135.0
June,16,110.0
March,16,105.0
May,16,85.0
November,16,272.0
October,16,130.0
September,16,110.0
April,17,130.0
August,17,173.0
December,17,91.0
February,17,99.0
January,17,104.0
July,17,156.0
June,17,120.0
March,17,97.0
May,17,75.0
November,17,159.0
October,17,138.0
September,17,154.0
April,18,102.0
August,18,158.0
December,18,107.0
February,18,91.0
January,18,121.0
July,18,159.0
June,18,135.0
March,18,108.0
May,18,98.0
November,18,166.0
October,18,130.0
September,18,149.0
April,19,104.0
August,19,164.0
December,19,83.0
February,19,98.0
January,19,96.0
July,19,114.0
June,19,144.0
March,19,107.0
May,19,112.0
November,19,139.0
October,19,131.0
September,19,215.0
April,20,150.0
August,20,253.0
December,20,103.0
February,20,127.0
January,20,117.0
July,20,206.0
June,20,228.0
March,20,125.0
May,20,138.0
November,20,147.0
October,20,203.0
September,20,184.0
April,21,112.0
August,21,172.0
December,21,88.0
February,21,100.0
January,21,80.0
July,21,161.0
June,21,125.0
March,21,100.0
May,21,100.0
November,21,99.0
October,21,137.0
September,21,164.0
April,22,126.0
August,22,144.0
December,22,90.0
February,22,107.0
January,22,82.0
July,22,128.0
June,22,143.0
March,22,91.0
May,22,102.0
November,22,138.0
October,22,141.0
September,22,185.0
April,23,112.0
August,23,146.0
December,23,116.0
February,23,105.0
January,23,98.0
July,23,131.0
June,23,164.0
March,23,102.0
May,23,88.0
November,23,134.0
October,23,151.0
September,23,157.0
April,24,124.0
August,24,177.0
December,24,175.0
February,24,102.0
January,24,112.0
July,24,122.0
June,24,142.0
March,24,99.0
May,24,77.0
November,24,138.0
October,24,158.0
September,24,113.0
April,25,109.0
August,25,172.0
December,25,152.0
February,25,90.0
January,25,114.0
July,25,173.0
June,25,145.0
March,25,93.0
May,25,100.0
November,25,113.0
October,25,139.0
September,25,156.0
April,26,112.0
August,26,125.0
December,26,87.0
February,26,84.0
January,26,92.0
July,26,127.0
June,26,120.0
March,26,84.0
May,26,119.0
November,26,104.0
October,26,141.0
September,26,136.0
April,27,124.0
August,27,141.0
December,27,93.0
February,27,108.0
January,27,83.0
July,27,160.0
June,27,108.0
March,27,82.0
May,27,92.0
November,27,119.0
October,27,113.0
September,27,123.0
April,28,115.0
August,28,151.0
December,28,108.0
February,28,104.0
January,28,92.0
July,28,125.0
June,28,135.0
March,28,93.0
May,28,108.0
November,28,178.0
October,28,143.0
September,28,165.0
April,29,133.0
August,29,124.0
December,29,103.0
February,29,19.0
January,29,94.0
July,29,124.0
June,29,124.0
March,29,109.0
May,29,94.0
November,29,85.0
October,29,133.0
September,29,125.0
April,30,95.0
August,30,148.0
December,30,84.0
January,30,76.0
July,30,149.0
June,30,412.0
March,30,120.0
May,30,99.0
November,30,100.0
October,30,150.0
September,30,187.0
August,31,161.0
December,31,297.0
January,31,98.0
July,31,142.0
March,31,99.0
May,31,89.0
October,31,278.0
